"ID","y_pred"
1491,0.896666666666667
1492,0.453333333333333
1493,0.17
1494,0.153333333333333
1495,0.0233333333333333
1496,0.0366666666666667
1497,0.636666666666667
1498,0.106666666666667
1499,0.0666666666666667
1500,0.83
1501,0.00333333333333333
1502,0.0133333333333333
1503,0.07
1504,0.0733333333333333
1505,0.0366666666666667
1506,0.00666666666666667
1507,0.03
1508,0.753333333333333
1509,0.116666666666667
1510,0.0166666666666667
1511,0.116666666666667
1512,0.03
1513,0.986666666666667
1514,0.746666666666667
1515,0.16
1516,0.1
1517,0.96
1518,0.143333333333333
1519,0
1520,0.06
1521,0.97
1522,0
1523,0.03
1524,0.123333333333333
1525,0.193333333333333
1526,0.343333333333333
1527,0.15
1528,0.326666666666667
1529,0.0233333333333333
1530,0.0166666666666667
1531,0.03
1532,0.08
1533,0.636666666666667
1534,0.516666666666667
1535,0.133333333333333
1536,0.153333333333333
1537,0.07
1538,0
1539,0.516666666666667
1540,0.17
1541,0
1542,0.0133333333333333
1543,0
1544,0.04
1545,0.89
1546,0.156666666666667
1547,0.996666666666667
1548,0.0833333333333333
1549,0.0433333333333333
1550,0.0533333333333333
1551,0.386666666666667
1552,0.326666666666667
1553,0.973333333333333
1554,0.0766666666666667
1555,0.916666666666667
1556,0.963333333333333
1557,0.213333333333333
1558,0.02
1559,0.123333333333333
1560,0.01
1561,0.0333333333333333
1562,0
1563,0.266666666666667
1564,0.156666666666667
1565,0.333333333333333
1566,0.976666666666667
1567,0.91
1568,0.203333333333333
1569,0.04
1570,0.423333333333333
1571,1
1572,0.23
1573,0.38
1574,0.15
1575,0.153333333333333
1576,0
1577,0
1578,0.01
1579,0.14
1580,0.133333333333333
1581,0.563333333333333
1582,0.0366666666666667
1583,0
1584,0
1585,0.823333333333333
1586,0.98
1587,0.0266666666666667
1588,0.0766666666666667
1589,0.99
1590,0.22
1591,0
1592,0.943333333333333
1593,0.07
1594,0.95
1595,0.06
1596,0
1597,0.143333333333333
1598,0.273333333333333
1599,0.0333333333333333
1600,0
1601,0.01
1602,0.01
1603,0
1604,0.06
1605,0.106666666666667
1606,0.07
1607,0.0466666666666667
1608,0.983333333333333
1609,0.146666666666667
1610,0.13
1611,0.87
1612,0.96
1613,0.05
1614,0.0866666666666667
1615,0.163333333333333
1616,0.09
1617,0.0866666666666667
1618,0
1619,0.153333333333333
1620,0.0533333333333333
1621,0.143333333333333
1622,0.41
1623,0.983333333333333
1624,0.393333333333333
1625,0
1626,0.03
